run,reference,tagged,comment
PIC27779RT1,PEPFAR_RT1_HXB2,no,
PIC68008RT1,PEPFAR_RT1_HXB2,no,
PIC45799RT1,PEPFAR_RT1_HXB2,no,
PIC60090RT1,PEPFAR_RT1_HXB2,no,
PIC66314RT1,PEPFAR_RT1_HXB2,no,
PIC63245RT1,PEPFAR_RT1_HXB2,no,
PIC81206RT1,PEPFAR_RT1_HXB2,no,
PIC87014RT2,PEPFAR_RT2_HXB2,no
PIC64236RT2,PEPFAR_RT2_HXB2,no
PIC71101RT2,PEPFAR_RT2_HXB2,no
PIC78882RT2,PEPFAR_RT2_HXB2,no
PIC34971RT2,PEPFAR_RT2_HXB2,no
PIC28477RT2,PEPFAR_RT2_HXB2,no
PIC16767RT2,PEPFAR_RT2_HXB2,no
PIC13600RT2,PEPFAR_RT2_HXB2,no
PIC23898RT2,PEPFAR_RT2_HXB2,no
